lat,lon
35.2578,-93.0947
34.5467,-93.5781
36.2833,-94.3
34.05,-94.4008
36.1181,-97.0914
36.1347,-97.1083
35.135,-90.2344
30.0917,-91.8731
32.8833,-92.1164
31.7797,-95.7233
39.1028,-96.6097
31.15,-92.9667
42.1908,-71.1736
44.3675,-71.545
42.5842,-70.9175
41.3714,-73.4828
40.1203,-76.2944
43.3436,-72.5178
44.42,-72.0194
40.8764,-74.2831
42.57,-72.2911
42.1094,-77.9919
41.7419,-72.1836
42.6958,-73.1708
41.9097,-70.7294
42.805,-72.0036
44.5344,-72.6144
43.9906,-70.9475
43.3497,-76.3847
41.8756,-71.0211
42.6425,-77.0564
41.0089,-74.7367
41.0731,-71.9233
42.8914,-73.2469
40.2383,-75.5572
40.6239,-74.6694
40.33,-75.1225
40.7342,-73.4169
41.5097,-72.8278
41.1389,-75.3794
40.8217,-72.8689
43.2781,-70.9222
41.0467,-78.4117
41.2003,-74.6231
43.1717,-70.9278
43.1092,-70.9483
41.4911,-71.5414
41.4783,-71.5417
40.0528,-88.3728
46.3344,-86.92
41.8431,-88.8514
46.4167,-86.65
40.3667,-81.7828
44.9081,-84.7203
41.5561,-93.2856
44.0603,-90.1736
46.1136,-92.9936
45.7114,-99.1294
46.7703,-99.4778
33.355,-81.3278
31.3128,-84.4706
31.1922,-84.4464
32.3378,-89.0703
38.0944,-84.7464
37.2503,-86.2325
33.7836,-83.3897
36.0139,-85.1344
30.8078,-81.4597
34.285,-85.9622
32.4567,-87.2422
34.5653,-85.6172
34.3336,-86.3156
34.1953,-86.7964
34.6603,-87.3461
30.5486,-87.8758
31.0425,-86.3117
31.9514,-85.1289
30.3503,-81.8831
32.8517,-86.6114
32.8369,-88.1375
32.7169,-87.6225
34.7728,-87.64
34.4536,-87.7103
34.6942,-85.9997
32.335,-86.9786
38.8883,-86.5708
31.145,-87.0517
41.7858,-73.7422
42.44,-76.2461
43.2339,-75.4117
44.65,-73.4667
31.9156,-86.3114
33.5722,-86.0572
39.7333,-77.4333
26.25,-80.1083
27.7628,-82.6261
25.9989,-80.2411
25.8064,-80.1336
28.6158,-80.6928
25.8997,-81.3183
27.1525,-81.3689
37.1431,-107.7597
39.2292,-106.3169
39.1894,-103.7158
38.505,-107.8975
31.4583,-109.6061
34.5183,-109.3792
32.3336,-104.2581
38.81,-104.6883
36.0167,-102.55
35.0706,-108.8389
33.2367,-107.2681
35.1664,-107.8992
38.29,-104.4983
39.5703,-104.8489
37.3031,-108.6275
39.2231,-106.8683
38.755,-109.7542
32.8547,-109.6353
33.6667,-117.7333
39.4167,-118.7167
35.6875,-117.6931
32.8667,-117.1333
34.2008,-119.2069
34.1167,-119.1167
32.7,-117.2
33.7,-117.8333
32.5667,-117.1167
33.25,-119.45
37.7086,-113.0944
34.0511,-118.2353
33.8281,-116.5053
34.2325,-111.3447
33.4489,-112.0825
39.6092,-110.7547
35.2578,-113.9331
33.68,-117.8664
36.78,-119.7194
34.0158,-118.4514
39.1019,-121.5678
35.2372,-120.6414
35.6697,-120.6283
39.49,-121.6183
38.6956,-121.5897
